brand;name;link;image;color;consist;description
BB Dakota;Better To Burnout Leopard Velvet Knit Dress;https://www.6pm.com/p/bb-dakota-better-to-burnout-leopard-velvet-knit-dress-light-camel/product/9343089/color/1410;https://m.media-amazon.com/images/I/81YHFLcgaAL._AC_SX510_.jpg;Light Camel;" 55% Lurex® yarn, 45% polyester;Lining: 95% rayon, 5% elastane ";A luxe leopard pattern gives this BB DAKOTA® Better To Burnout Leopard Velvet Knit Dress a stunning look. The figure-hugging silhouette has a flattering look with an eye-catching center ruching.
BCBGMAXAZRIA;Long Printed Dress;https://www.6pm.com/p/bcbgmaxazria-long-printed-dress-black-bird-of-paradise/product/9487165/color/892911;https://m.media-amazon.com/images/I/71FK7oFKs0L._AC_SX510_.jpg;Black/Bird of Paradise; 100% viscose ;Flow right into season with this hanky-hem BCBGMAXAZRIA® Long Printed Dress.
Splendid;Striped Pocket Midi Dress;https://www.6pm.com/p/splendid-striped-pocket-midi-dress-natural-navy/product/9276527/color/8094;https://m.media-amazon.com/images/I/71EtwCZOmEL._AC_SX510_.jpg;Natural/Navy; 84% viscose, 8% linen, 8% acrylic ;Make your casual look fresh and chic in the sleeveless Splendid® Striped Pocket Midi Dress with open front pockets and side zipper closure.
Betsey Johnson;Scuba Crepe Dress w/ Bow;https://www.6pm.com/p/betsey-johnson-scuba-crepe-dress-w-bow-black/product/9195113/color/3;https://m.media-amazon.com/images/I/71ljpdGkwrL._AC_SX510_.jpg;Black; 95% polyester, 5% spandex Lining: 100% polyester ;You'll look perfectly poised in this Betsey Johnson® Scuba Crepe Dress w/ Bow.
Betsey Johnson;Floral Scuba Midi Dress;https://www.6pm.com/p/betsey-johnson-floral-scuba-midi-dress-black-floral/product/9195141/color/79024;https://m.media-amazon.com/images/I/710iy5VkvQL._AC_SX510_.jpg;Black/Floral; 95% polyester, 5% spandex;Make big waves at that next vacation dinner wearing the Betsey Johnson® Floral Scuba Midi Dress.
Donna Morgan;Stretch Velvet Deep Square Neck 3/4 Length Sleeve Midi Dress;https://www.6pm.com/p/donna-morgan-stretch-velvet-deep-square-neck-3-4-length-sleeve-midi-dress-dark-green/product/9312246/color/2295;https://m.media-amazon.com/images/I/710tYOQu70L._AC_SX510_.jpg;Dark Green; 94% nylon, 6% spandexLining: 100% polyester ;Dance like there's no tomorrow in the Donna Morgan™ dress featuring a sheath silhouette, a flirty side slit, and a lined velvet fabrication. 
Bardot;Belinda Dress;https://www.6pm.com/p/bardot-belinda-dress-navy/product/9466691/color/9;https://m.media-amazon.com/images/I/71cnWUWjU5L._AC_SX510_.jpg;Navy; 68% viscose, 27% nylon, 5% elastane;Flaunt an off-the-shoulder design wearing the lightweight Bardot® Belinda Dress with a straight hem.
Betsey Johnson;Scuba Crepe Cross-Back Dress;https://www.6pm.com/p/betsey-johnson-scuba-crepe-cross-back-dress-fire/product/9296835/color/18807;https://m.media-amazon.com/images/I/71ckrWwriLL._AC_SX510_.jpg;Fire;" 95% polyester, 5% spandex;Lining: 100% polyester";The Betsey Johnson® Scuba Crepe Cross-Back Dress is perfectly matched with your favorite blazer!
fiveloaves twofish;Celine Sequin Dress (Big Kids);https://www.6pm.com/p/fiveloaves-twofish-celine-sequin-dress-big-kids-cranberry/product/9385767/color/5435;https://m.media-amazon.com/images/I/91XQ0XfKKOL._AC_SX510_.jpg;Cranberry;" 100% polyester;Lining: 80% polyester, 20% cotton ";Adorned with allover sequins and a gorgeous fit-and-flare silhouette, the fiveloaves twofish™ Celine Sequin Dress will have her shining through the holiday season. The fully-lined design is complete with a scoop neckline, cap sleeves, waist pleats, and an exposed back zip closure. 
Vince Camuto;Kors Crepe High Neck Midi Dress;https://www.6pm.com/p/vince-camuto-kors-crepe-high-neck-midi-dress-periwinkle/product/9394993/color/2068;https://m.media-amazon.com/images/I/71a-VtyaVyL._AC_SX510_.jpg;Periwinkle; 97% polyester, 3% spandex;Allow your classy style to shine in the stunning Vince Camuto® Kors Crepe High Neck Midi Dress featuring three-quarter sleeves.
MARINA;3/4 Sleeve V-Neck Glitter Knit Dress;https://www.6pm.com/p/marina-3-4-sleeve-v-neck-glitter-knit-dress-navy/product/9406628/color/9;https://m.media-amazon.com/images/I/81y5QnVb+2L._AC_SX510_.jpg;Navy; 93% nylon, 4% spandex, 3% metallic ;All eyes will be on you in this side-gathered MARINA™ 3/4 Sleeve V-Neck Glitter Knit Dress. 
Badgley Mischka;Tie Neck Dress;https://www.6pm.com/p/badgley-mischka-tie-neck-dress-ivory/product/9243453/color/422;https://m.media-amazon.com/images/I/610WF3DyYfL._AC_SX510_.jpg;Ivory;" 95% polyester, 5% spandex;Lining: 100% polyester ";Make power moves in this Badgley Mischka® Tie Neck Dress. 
BB Dakota;Late In The Day Dress;https://www.6pm.com/p/bb-dakota-late-in-the-day-dress-chambray/product/9219910/color/543799;https://m.media-amazon.com/images/I/71V9AJxJACL._AC_SX510_.jpg;Chambray; 95% cupro, 5% spandex ;Take your next outdoor get together by storm wearing the BB Dakota® Late In The Day Dress. 
Cupcakes and Cashmere;Claudia Rib Knit Sweater Dress w/ Gold Metallic Tipping;https://www.6pm.com/p/cupcakes-and-cashmere-claudia-rib-knit-sweater-dress-w-gold-metallic-tipping-black/product/9350188/color/3;https://m.media-amazon.com/images/I/71jvvqKj9FL._AC_SX510_.jpg;Black; 54% viscose, 29% polyester, 16% nylon, 1% Lurex® metallic yarn ;The lovely cupcakes and cashmere™ Claudia Rib Knit Sweater Dress has a simple and sleek silhouette has a cozy fabrication and is accented with a metallic trim at the cuffs and hemline.
MICHAEL Michael Kors;Dancing Petal Twist Neck Border;https://www.6pm.com/p/michael-michael-kors-dancing-petal-twist-neck-border-black/product/9396768/color/3;https://m.media-amazon.com/images/I/81-kl2F1lLL._AC_SX510_.jpg;Black; 95% polyester, 5% elastane ;Add a touch of floral to your look with the MICHAEL Michael Kors® Dress. It features a sheath silhouette and a printed stretch-poly fabrication with a board trim.  
MICHAEL Michael Kors;Check Ruffle Long Sleeve Dress;https://www.6pm.com/p/michael-michael-kors-check-ruffle-long-sleeve-dress-white/product/9396769/color/14;https://m.media-amazon.com/images/I/81sQvA87ReL._AC_SX510_.jpg;White; 98% polyester, 2% elastane ;Make power moves in the MICHAEL Michael Kors® dress featuring an A-line silhouette, a cascading ruffle detail, and a check print on a stretch-poly fabrication. 
Bardot;Elsie Lace Dress;https://www.6pm.com/p/bardot-elsie-lace-dress-black/product/9406262/color/3;https://m.media-amazon.com/images/I/71PrGaLYaLL._AC_SX510_.jpg;Black; 90% nylon, 10% elastane ;Turn heads in the Bardot™ Elsie Lace Dress featuring a sheath silhouette and a lace fabrication with illusion panels throughout. 
